t,sat,gss
1941,1,SVA
1942,1,SVA
1943,1,SVA
1944,1,SVA
1945,1,SVA
1946,1,SVA
1947,1,SVA
1948,1,SVA
1949,1,SVA
1950,1,SVA
1951,1,SVA
1952,1,SVA
1953,1,SVA
1954,1,SVA
1955,1,SVA
1956,1,SVA
1957,1,SVA
1958,1,SVA
1959,1,SVA
1960,1,SVA
1961,1,SVA
1962,1,SVA
1963,1,SVA
1964,1,SVA
1965,1,SVA
1966,1,SVA
1967,1,SVA
1968,1,SVA
1969,1,SVA
1970,1,SVA
1971,1,SVA
1972,1,SVA
1973,1,SVA
1974,1,SVA
1975,1,SVA
1976,1,SVA
1977,1,SVA
1978,1,SVA
1979,1,SVA
1980,1,SVA
1981,1,SVA
1982,1,SVA
1983,1,SVA
1984,1,SVA
1985,1,SVA
1986,1,SVA
1987,1,SVA
1988,1,SVA
1989,1,SVA
1990,1,SVA
1991,1,SVA
1992,1,SVA
1993,1,SVA
1994,1,SVA
1995,1,SVA
1996,1,SVA
1997,1,SVA
1998,1,SVA
1999,1,SVA
2000,1,SVA
2001,1,SVA
2002,1,SVA
2003,1,SVA
2004,1,SVA
2005,1,SVA
2006,1,SVA
2007,1,SVA
2008,1,SVA
2009,1,SVA
2010,1,SVA
2011,1,SVA
2012,1,SVA
2013,1,SVA
2014,1,SVA
2015,1,SVA
2016,1,SVA
2017,1,SVA
2018,1,SVA
2019,1,SVA
2020,1,SVA
2021,1,SVA
2022,1,SVA
2023,1,SVA
2024,1,SVA
2025,1,SVA
2026,1,SVA
2027,1,SVA
2028,1,SVA
2029,1,SVA
2030,1,SVA
2031,1,SVA
2032,1,SVA
2033,1,SVA
2034,1,SVA
2035,1,SVA
2036,1,SVA
2037,1,SVA
2038,1,SVA
2039,1,SVA
2040,1,SVA
2041,1,SVA
2042,1,SVA
2043,1,SVA
2044,1,SVA
2045,1,SVA
2046,1,SVA
2047,1,SVA
2048,1,SVA
2049,1,SVA
2050,1,SVA
2051,1,SVA
2052,1,SVA
2053,1,SVA
2054,1,SVA
2055,1,SVA
2056,1,SVA
2057,1,SVA
2058,1,SVA
2059,1,SVA
2060,1,SVA
2061,1,SVA
2062,1,SVA
2063,1,SVA
2064,1,SVA
2065,1,SVA
2066,1,SVA
2067,1,SVA
2068,1,SVA
2069,1,SVA
2070,1,SVA
2071,1,SVA
2072,1,SVA
2073,1,SVA
2074,1,SVA
2075,1,SVA
2076,1,SVA
2077,1,SVA
2078,1,SVA
2079,1,SVA
2080,1,SVA
2081,1,SVA
2082,1,SVA
2083,1,SVA
